"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.03.2023","103,50","104,70","106,80","103,50","41,15K","-1,14%"
"09.03.2023","104,69","105,04","105,44","104,60","16,35K","-0,33%"
"08.03.2023","105,04","105,00","105,90","105,00","18,17K","0,04%"
"07.03.2023","105,00","104,96","105,50","104,57","26,25K","0,04%"
"06.03.2023","104,96","104,48","105,47","104,01","20,52K","0,46%"
"03.03.2023","104,48","102,96","104,90","102,96","23,09K","1,48%"
"02.03.2023","102,96","102,10","103,44","102,10","17,38K","0,88%"
"01.03.2023","102,06","103,19","104,49","102,00","27,36K","-1,05%"
"28.02.2023","103,14","105,60","106,89","101,88","26,03K","-2,25%"
"27.02.2023","105,51","104,40","105,60","104,40","21,40K","1,06%"
"24.02.2023","104,40","104,08","104,96","104,06","17,36K","0,34%"
"23.02.2023","104,05","104,28","105,00","103,95","14,34K","-0,22%"
"22.02.2023","104,28","104,00","104,47","103,50","11,86K","0,27%"
"17.02.2023","104,00","103,64","104,00","103,39","20,60K","0,04%"
"16.02.2023","103,96","103,50","103,96","103,43","16,39K","0,44%"
"15.02.2023","103,50","103,00","103,76","103,00","20,54K","0,49%"
"14.02.2023","103,00","102,20","103,00","102,20","15,28K","0,78%"
"13.02.2023","102,20","102,18","103,00","102,04","16,27K","0,02%"
"10.02.2023","102,18","101,95","102,66","101,70","17,88K","0,23%"
"09.02.2023","101,95","102,15","102,60","100,40","17,59K","-0,20%"
"08.02.2023","102,15","102,79","102,94","101,75","22,69K","-0,62%"
"07.02.2023","102,79","102,93","103,82","102,48","21,92K","-0,14%"
"06.02.2023","102,93","103,63","104,00","102,61","61,35K","-0,68%"
"03.02.2023","103,63","102,81","103,99","102,81","21,18K","0,82%"
"02.02.2023","102,79","103,49","104,29","102,54","33,46K","0,50%"
"01.02.2023","102,28","105,88","106,01","102,11","42,72K","-3,53%"
"31.01.2023","106,02","106,07","106,44","105,79","25,23K","-0,81%"
"30.01.2023","106,89","106,98","107,18","106,50","22,04K","-0,08%"
"27.01.2023","106,98","106,85","107,22","106,70","21,63K","0,26%"
"26.01.2023","106,70","106,58","106,97","106,04","28,19K","0,11%"
"25.01.2023","106,58","106,01","107,06","106,00","19,15K","0,55%"
"24.01.2023","106,00","106,40","106,71","106,00","24,15K","-0,28%"
"23.01.2023","106,30","106,52","106,89","106,11","24,90K","-0,47%"
"20.01.2023","106,80","106,89","106,89","106,01","21,59K","-0,08%"
"19.01.2023","106,89","107,09","107,33","106,29","19,98K","-0,20%"
"18.01.2023","107,10","106,55","107,23","105,90","24,24K","0,52%"
"17.01.2023","106,55","106,20","106,70","105,99","18,53K","0,33%"
"16.01.2023","106,20","105,50","106,20","105,20","20,22K","0,66%"
"13.01.2023","105,50","104,21","105,65","104,21","25,10K","1,24%"
"12.01.2023","104,21","104,80","105,41","104,15","15,86K","-0,56%"
"11.01.2023","104,80","104,70","105,02","103,49","24,92K","0,10%"
"10.01.2023","104,70","104,94","105,49","104,16","23,39K","-0,23%"
"09.01.2023","104,94","103,65","105,25","102,95","25,10K","1,24%"
"06.01.2023","103,65","104,60","104,60","103,20","26,90K","-0,97%"
"05.01.2023","104,66","101,91","106,70","101,91","28,79K","2,76%"
"04.01.2023","101,85","104,50","105,48","101,04","34,55K","-1,97%"
"03.01.2023","103,90","106,48","109,98","103,00","51,17K","-2,44%"
"02.01.2023","106,50","106,21","107,00","104,09","24,26K","0,26%"